year,month,Symbol,Closing,Date,MAX
13,07,AMOT,747.2493772727271,13/07,2104.0
13,08,AMOT,783.3793809523808,13/08,2104.0
13,09,AMOT,805.9062250000001,13/09,2104.0
13,10,AMOT,815.0604521739127,13/10,2104.0
13,11,AMOT,820.8619350000001,13/11,2104.0
13,12,AMOT,827.2618652173911,13/12,2104.0
14,01,AMOT,838.5632681818183,14/01,2104.0
14,02,AMOT,830.409215,14/02,2104.0
14,03,AMOT,860.6190428571429,14/03,2104.0
14,04,AMOT,902.0243166666664,14/04,2104.0
14,05,AMOT,891.1044052631579,14/05,2104.0
14,06,AMOT,928.680205,14/06,2104.0
14,07,AMOT,922.072047826087,14/07,2104.0
14,08,AMOT,903.4911499999998,14/08,2104.0
14,09,AMOT,965.3570000000002,14/09,2104.0
14,10,AMOT,984.2970388888888,14/10,2104.0
14,11,AMOT,994.5036666666668,14/11,2104.0
14,12,AMOT,983.418965217391,14/12,2104.0
15,01,AMOT,976.7812952380951,15/01,2104.0
15,02,AMOT,1035.80934,15/02,2104.0
15,03,AMOT,1077.7354571428573,15/03,2104.0
15,04,AMOT,1135.6696842105262,15/04,2104.0
15,05,AMOT,1113.737125,15/05,2104.0
15,06,AMOT,1072.2680272727273,15/06,2104.0
15,07,AMOT,1038.8768666666667,15/07,2104.0
15,08,AMOT,1049.860790909091,15/08,2104.0
15,09,AMOT,1069.9137066666667,15/09,2104.0
15,10,AMOT,1090.1408421052631,15/10,2104.0
15,11,AMOT,1109.1186818181818,15/11,2104.0
15,12,AMOT,1125.8002695652174,15/12,2104.0
16,01,AMOT,1120.6628285714287,16/01,2104.0
16,02,AMOT,1106.321619047619,16/02,2104.0
16,03,AMOT,1167.5134,16/03,2104.0
16,04,AMOT,1229.5694947368422,16/04,2104.0
16,05,AMOT,1294.7595238095237,16/05,2104.0
16,06,AMOT,1383.279752380952,16/06,2104.0
16,07,AMOT,1467.0251190476192,16/07,2104.0
16,08,AMOT,1566.3254363636363,16/08,2104.0
16,09,AMOT,1533.3568333333333,16/09,2104.0
16,10,AMOT,1485.6639692307692,16/10,2104.0
16,11,AMOT,1504.685490909091,16/11,2104.0
16,12,AMOT,1517.6704476190475,16/12,2104.0
17,01,AMOT,1507.771347826087,17/01,2104.0
17,02,AMOT,1525.0492950000003,17/02,2104.0
17,03,AMOT,1656.994361904762,17/03,2104.0
17,04,AMOT,1704.243882352941,17/04,2104.0
17,05,AMOT,1770.7407368421052,17/05,2104.0
17,06,AMOT,1766.9703523809524,17/06,2104.0
17,07,AMOT,1830.597640909091,17/07,2104.0
17,08,AMOT,1874.7277409090907,17/08,2104.0
17,09,AMOT,1925.6861611111115,17/09,2104.0
17,10,AMOT,1990.8171842105264,17/10,2104.0
17,11,AMOT,2049.9994545454542,17/11,2104.0
17,12,AMOT,2040.0,17/12,2104.0
18,01,AMOT,2104.0,18/01,2104.0
18,02,AMOT,1965.1875,18/02,2104.0
13,02,ARPT,1597.920225,13/02,4692.728515789473
13,03,ARPT,1677.0384999999997,13/03,4692.728515789473
13,04,ARPT,1842.155273684211,13/04,4692.728515789473
13,05,ARPT,2059.24918,13/05,4692.728515789473
13,06,ARPT,2136.459438095238,13/06,4692.728515789473
13,07,ARPT,2220.2211545454543,13/07,4692.728515789473
13,08,ARPT,2450.840823809524,13/08,4692.728515789473
13,09,ARPT,2445.3403500000004,13/09,4692.728515789473
13,10,ARPT,2664.919143478261,13/10,4692.728515789473
13,11,ARPT,2772.6551699999995,13/11,4692.728515789473
13,12,ARPT,2726.9924521739135,13/12,4692.728515789473
14,01,ARPT,2913.3713090909096,14/01,4692.728515789473
14,02,ARPT,2998.0842600000005,14/02,4692.728515789473
14,03,ARPT,3231.3622333333333,14/03,4692.728515789473
14,04,ARPT,3161.7269722222222,14/04,4692.728515789473
14,05,ARPT,3080.5486210526315,14/05,4692.728515789473
14,06,ARPT,3036.540425,14/06,4692.728515789473
14,07,ARPT,2975.598617391304,14/07,4692.728515789473
14,08,ARPT,2943.58648,14/08,4692.728515789473
14,09,ARPT,3315.4841100000003,14/09,4692.728515789473
14,10,ARPT,3184.6023388888884,14/10,4692.728515789473
14,11,ARPT,3029.143219047619,14/11,4692.728515789473
14,12,ARPT,3020.9332391304347,14/12,4692.728515789473
15,01,ARPT,2943.5036333333333,15/01,4692.728515789473
15,02,ARPT,3234.5176550000006,15/02,4692.728515789473
15,03,ARPT,3467.8267238095236,15/03,4692.728515789473
15,04,ARPT,3842.430621052631,15/04,4692.728515789473
15,05,ARPT,3723.787755,15/05,4692.728515789473
15,06,ARPT,3552.6842818181817,15/06,4692.728515789473
15,07,ARPT,3622.471519047619,15/07,4692.728515789473
15,08,ARPT,3656.996340909091,15/08,4692.728515789473
15,09,ARPT,3373.1902133333333,15/09,4692.728515789473
15,10,ARPT,3448.8945157894736,15/10,4692.728515789473
15,11,ARPT,3318.0574090909095,15/11,4692.728515789473
15,12,ARPT,3313.417586956522,15/12,4692.728515789473
16,01,ARPT,3354.7186761904763,16/01,4692.728515789473
16,02,ARPT,3241.9311999999995,16/02,4692.728515789473
16,03,ARPT,3391.9497545454537,16/03,4692.728515789473
16,04,ARPT,3488.6631578947363,16/04,4692.728515789473
16,05,ARPT,3478.98888095238,16/05,4692.728515789473
16,06,ARPT,3503.1512904761903,16/06,4692.728515789473
16,07,ARPT,3765.4354190476192,16/07,4692.728515789473
16,08,ARPT,3973.3772909090917,16/08,4692.728515789473
16,09,ARPT,3895.779457142857,16/09,4692.728515789473
16,10,ARPT,3883.393030769231,16/10,4692.728515789473
16,11,ARPT,3707.610863636363,16/11,4692.728515789473
16,12,ARPT,3582.51041904762,16/12,4692.728515789473
17,01,ARPT,3716.5862739130434,17/01,4692.728515789473
17,02,ARPT,3930.7573199999997,17/02,4692.728515789473
17,03,ARPT,4327.377838095238,17/03,4692.728515789473
17,04,ARPT,4504.098599999999,17/04,4692.728515789473
17,05,ARPT,4692.728515789473,17/05,4692.728515789473
17,06,ARPT,4522.691614285715,17/06,4692.728515789473
